chave_coluna_lista,nivel_linha,campo_api_frontend,campo_prisma_pedido,campo_prisma_item,campo_propagacao_pai,tabela_postgres,tipo_prisma,tipo_comportamento_lista,grupo_coluna_lista,label_cabecalho_tela,tooltip_titulo_tela,armazenamento_banco,back_patch_campo,origem_dado
data_confirmada_indeferimento_lpco,item,data_confirmada_indeferimento_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_indeferimento_lpco,lista_gtv
,item,,,data_confirmada_inspecao_item,data_confirmada_inspecao_pedido,pedido_item,DateTime,,,Data Confirmada — Inspecao (Item),,coluna_prisma_sem_lista,data_confirmada_inspecao_item,somente_prisma
,item,,,data_confirmada_item_pronto,data_confirmada_pedido_pronto,pedido_item,DateTime,,,Data Confirmada — Item Pronto,,coluna_prisma_sem_lista,data_confirmada_item_pronto,somente_prisma
data_confirmada_recebimento_draft_cert_origem,item,data_confirmada_recebimento_draft_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_recebimento_draft_cert_origem,lista_gtv
data_confirmada_recebimento_original_cert_origem,item,data_confirmada_recebimento_original_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_recebimento_original_cert_origem,lista_gtv
data_confirmada_registro_lpco,item,data_confirmada_registro_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_registro_lpco,lista_gtv
data_confirmada_resultado_analise_lpco,item,data_confirmada_resultado_analise_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_confirmada_resultado_analise_lpco,lista_gtv
data_consolidacao_item,item,data_consolidacao_item,,data_consolidacao_item,,pedido_item,DateTime,,Identificação,Data de Consolidação do Item,Data de Consolidação do Produto/Item,coluna_pedido_item,data_consolidacao_item,lista_gtv
,item,,,data_consolidacao_pedido_replicada_item,data_consolidacao_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_consolidacao_pedido_replicada_item,somente_prisma
,item,,,data_criacao_item,,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_criacao_item,somente_prisma
,item,,,data_documento_invoice_item,data_documento_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_documento_invoice_item,somente_prisma
,item,,,data_documento_item,data_documento_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_documento_item,somente_prisma
,item,,,data_documento_proforma_item,data_documento_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_documento_proforma_item,somente_prisma
data_embarque_item,item,data_embarque_item,,data_embarque_item,,pedido_item,DateTime,,Identificação,Data de Embarque (Item),,coluna_pedido_item,data_embarque_item,lista_gtv
data_emissao_pedido,item,data_emissao_pedido,,data_emissao_item,data_emissao_pedido,pedido_item,DateTime,alfanumerico,Identificação,Data de Emissao (Item),,coluna_pedido_item,data_emissao_item,lista_gtv
,item,,,data_exclusao_item,,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_exclusao_item,somente_prisma
data_meta_aprovacao_draft_cert_origem,item,data_meta_aprovacao_draft_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_aprovacao_draft_cert_origem,lista_gtv
data_meta_aprovacao_draft_lpco,item,data_meta_aprovacao_draft_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_aprovacao_draft_lpco,lista_gtv
,item,,,data_meta_aprovacao_rascunho_invoice_item,data_meta_aprovacao_rascunho_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_aprovacao_rascunho_invoice_item,somente_prisma
,item,,,data_meta_aprovacao_rascunho_item,data_meta_aprovacao_rascunho_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_aprovacao_rascunho_item,somente_prisma
,item,,,data_meta_aprovacao_rascunho_proforma_item,data_meta_aprovacao_rascunho_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_aprovacao_rascunho_proforma_item,somente_prisma
,item,,,data_meta_coleta_item,data_meta_coleta_pedido,pedido_item,DateTime,,,Data Meta — Coleta (Item),,coluna_prisma_sem_lista,data_meta_coleta_item,somente_prisma
data_meta_conferencia_draft_lpco,item,data_meta_conferencia_draft_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_conferencia_draft_lpco,lista_gtv
data_meta_deferimento_lpco,item,data_meta_deferimento_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_deferimento_lpco,lista_gtv
data_meta_envio_original_cert_origem,item,data_meta_envio_original_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_envio_original_cert_origem,lista_gtv
,item,,,data_meta_envio_original_invoice_item,data_meta_envio_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_envio_original_invoice_item,somente_prisma
